ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
13751,MATH,1210,700,Lecture,"3","Joshua Turner, -","TuTh 9:30am - 10:45am","","A survey of Calculus I","",Open,34,35,0
21096,MATH,1210,710,SPS,"0","Joshua Turner","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,34,36,0
10218,MATH,1210,800,Lecture,"3","Mason Hart, -","MoWe 2:00pm - 3:15pm","","A survey of Calculus I","",Closed,35,35,0
20398,MATH,1210,810,SPS,"0","Mason Hart","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,35,36,0
10220,MATH,1210,900,Lecture,"3","Caelan Wang","MoWe 3:30pm - 4:45pm","","A survey of Calculus I","",Open,34,35,0
20399,MATH,1210,910,SPS,"0","Caelan Wang","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,34,36,0
19571,MATH,1210,920,Lecture,"3","Caelan Wang","MoWe 5:00pm - 6:15pm","","A survey of Calculus I","",Closed,35,35,0
20400,MATH,1210,921,SPS,"0","Caelan Wang","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,35,36,0
10221,MATH,1210,940,Lecture,"3","Susan Mitchell, -","MoWeFr 10:00am - 10:50am","","A survey of Calculus I","",Open,34,35,0
20401,MATH,1210,941,SPS,"0","Susan Mitchell","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,34,36,0
12317,MATH,1210,950,Lecture,"3","Susan Mitchell, -","MoWeFr 11:00am - 11:50am","","A survey of Calculus I","",Open,34,35,0
20402,MATH,1210,951,SPS,"0","Susan Mitchell","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,34,36,0
11076,MATH,1210,960,Lecture,"3","Susan Mitchell, -","MoWeFr 12:00pm - 12:50pm","","A survey of Calculus I","",Closed,36,35,0
20403,MATH,1210,961,SPS,"0","Susan Mitchell","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Closed,36,36,0
